Strategy,Trades,Wins,Losses,Final Balance,Return %,Win Rate %
1 red candles -> LONG,292,138,154,986.2069230769231,-1.3792307692307693,47.26027397260274
1 green candles -> LONG,201,101,100,953.3788888888889,-4.662222222222223,50.24875621890548
